OpName,OpNumber,Func,AluOp,AluSrc1,AluSrc2,WriteReg,WriteRegSrc,WriteLO,WriteHI,WriteMem,PcSrc,BchAluSrc1,BranchEq,BranchNeg,Reg2Src
"sll, srl, add, and, or, xor, slt",0,Func,Func,0 (R),0 (R),1,0 (ALU),0,0,0,0 (PC+2),?,0,?,0 (rt)
mult,0,7,Func,0 (R),0 (R),0,?,1,1,0,0 (PC+2),?,0,?,0 (rt)
lui,1,?,0,1 (I),2 (6),0,?,1,0,0,0 (PC+2),?,0,?,?
j,2,?,?,?,?,1,1 (PC+2),0,0,0,1 (I*),?,0,?,?
jr,3,?,?,?,?,1,1 (PC+2),0,0,0,2 (BchALU),1 (R ),0,?,?
beq,4,?,?,0 (R),0 (R),0,?,0,0,0,2 (BchALU),0 (PC*),1,0,1 (rd)
bne,5,?,?,0 (R),0 (R),0,?,0,0,0,2 (BchALU),0 (PC*),1,1,1 (rd)
addi,6,?,2,0 (R),1 (I),1,0 (ALU),0,0,0,0 (PC+2),?,0,?,?
slti,7,?,6,0 (R),1 (I),1,0 (ALU),0,0,0,0 (PC+2),?,0,?,?
andi,8,?,3,0 (R),1 (I),1,0 (ALU),0,0,0,0 (PC+2),?,0,?,?
ori,9,?,4,0 (R),1 (I),1,0 (ALU),0,0,0,0 (PC+2),?,0,?,?
lh,10,?,2,0 (R),1 (I),1,2 (MEM),0,0,0,0 (PC+2),?,0,?,?
sh,11,?,2,0 (R),1 (I),0,?,0,0,1,0 (PC+2),?,0,?,1 (rd)
mfhi,12,?,?,?,?,1,3 (HI),0,0,0,0 (PC+2),?,0,?,?
mflo,13,?,?,?,?,1,4 (LO),0,0,0,0 (PC+2),?,0,?,?
,14,?,?,?,?,?,?,?,?,?,?,?,?,?,?
,15,?,?,?,?,?,?,?,?,?,?,?,?,?,?
